Index	ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Poisson-statistic	P-value	CorrectedP-value	IsEnriched
30	ENCFF020XNM	K562	SNIP1	A549	24.213898866599536	0.0	0.0	1
31	ENCFF021JCJ	K562	ZNF12	A549	44.139194161614846	0.0	0.0	1
32	ENCFF021NPR	HepG2	ZBTB7A	A549	57.02451548984671	0.0	0.0	1
33	ENCFF021YBN	HepG2	ZBED4	A549	65.3207270079611	0.0	0.0	1
34	ENCFF022GRJ	HepG2	BCLAF1	A549	0.0	1.0	1.0	0
35	ENCFF022KBD	HepG2	RCOR1	A549	38.05054019487184	0.0	0.0	1
36	ENCFF022KBK	K562	CEBPB	A549	44.20486933191729	0.0	0.0	1
37	ENCFF022QCK	HepG2	HNF1B	A549	80.13663440339485	0.0	0.0	1
38	ENCFF023IFO	K562	NFE2	A549	37.41967627746984	0.0	0.0	1
39	ENCFF023JGT	K562	HSF4	A549	17.902647579065356	0.0	0.0	1
40	ENCFF024BHX	MCF-7	OVOL1	A549	61.73928750001403	0.0	0.0	1
41	ENCFF024LQZ	HepG2	ZNF737	A549	38.253651866814245	0.0	0.0	1
42	ENCFF026PPP	HepG2	AFF4	A549	46.56368270900042	0.0	0.0	1
43	ENCFF028OBL	HepG2	SMC3	A549	31.835518266218703	0.0	0.0	1
44	ENCFF029RBI	K562	SREBF1	A549	31.28087294086239	0.0	0.0	1
45	ENCFF031NTF	K562	MEF2A	A549	26.925482473717338	0.0	0.0	1
46	ENCFF032ZPF	HepG2	TAF1	A549	82.67795636973126	0.0	0.0	1
47	ENCFF034ASW	HepG2	ZNF335	A549	64.18163114050351	0.0	0.0	1
48	ENCFF034RYJ	HepG2	ZNF629	A549	53.291754492104495	0.0	0.0	1
49	ENCFF035OPG	HepG2	HNRNPK	A549	62.416446882875775	0.0	0.0	1
50	ENCFF038WQY	K562	C11orf30	A549	60.56100109533013	0.0	0.0	1
51	ENCFF039JSN	HepG2	THYN1	A549	32.23915979854415	0.0	0.0	1
52	ENCFF039TWK	A549	ESRRA	A549	32.738071757224425	0.0	0.0	1
53	ENCFF041YZV	HepG2	NFRKB	A549	25.984879703315553	0.0	0.0	1
54	ENCFF042SUM	HepG2	ZNF766	A549	62.55225019789213	0.0	0.0	1
55	ENCFF043NUC	MCF-7	PKNOX1	A549	57.677249662202925	0.0	0.0	1
56	ENCFF044VTI	HepG2	RORA	A549	23.59237111157162	0.0	0.0	1
57	ENCFF044XYZ	HepG2	ZXDC	A549	56.52021894874829	0.0	0.0	1
58	ENCFF045CFL	K562	ZNF274	A549	13.517404708438802	0.0	0.0	1
59	ENCFF048BKZ	K562	SRSF3	A549	29.81008690436793	0.0	0.0	1
60	ENCFF048GXO	HepG2	MYNN	A549	43.62785923709214	0.0	0.0	1
61	ENCFF048HNT	HepG2	AHDC1	A549	62.6553948191176	0.0	0.0	1
62	ENCFF049BWK	HepG2	E2F1	A549	66.03789117761205	0.0	0.0	1
63	ENCFF049ISU	HepG2	ZC3H8	A549	55.73125881430435	0.0	0.0	1
64	ENCFF049MDN	K562	ZNF764	A549	23.56559079777987	0.0	0.0	1
65	ENCFF050KYT	HepG2	ZNF512B	A549	43.84585899985397	0.0	0.0	1
66	ENCFF050QMU	HepG2	SRF	A549	38.67504020596125	0.0	0.0	1
67	ENCFF051FNO	K562	PML	A549	69.90398378241183	0.0	0.0	1
68	ENCFF052BXQ	HepG2	RNF2	A549	60.75700841416622	0.0	0.0	1
69	ENCFF052NNP	HepG2	NBN	A549	6.528638109681575	2.3229099362363948e-14	2.2694418048023393e-13	1
70	ENCFF053ABJ	K562	ZNF583	A549	41.99728902938939	0.0	0.0	1
71	ENCFF053PDX	K562	PHF20	A549	67.11411510772201	0.0	0.0	1
72	ENCFF053XYZ	K562	POLR2AphosphoS5	A549	79.61110925336045	0.0	0.0	1
73	ENCFF055HMB	HepG2	HNRNPH1	A549	30.69057812666344	0.0	0.0	1
74	ENCFF057MJF	HepG2	U2AF1	A549	46.64584300550725	0.0	0.0	1
75	ENCFF057RJK	K562	RREB1	A549	46.04179259063952	0.0	0.0	1
76	ENCFF057SID	K562	NCOA2	A549	11.363280301639184	0.0	0.0	1
77	ENCFF058VGZ	K562	ZNF184	A549	38.947826003635036	0.0	0.0	1
78	ENCFF058ZHN	K562	MTA1	A549	51.48636448036415	0.0	0.0	1
79	ENCFF060IPX	HepG2	ZEB1	A549	52.70150843114951	0.0	0.0	1
80	ENCFF060MHX	HepG2	ZNF865	A549	48.69772074934303	0.0	0.0	1
81	ENCFF060REJ	HepG2	GATAD1	A549	81.14548237380421	0.0	0.0	1
82	ENCFF061ZIT	HepG2	NFYC	A549	60.57223714282492	0.0	0.0	1
83	ENCFF062KLW	MCF-7	RAD51	A549	37.22178025775191	0.0	0.0	1
84	ENCFF062UNZ	HepG2	HSF2	A549	36.767994037910576	0.0	0.0	1
85	ENCFF063NIH	K562	L3MBTL2	A549	89.7680404426359	0.0	0.0	1
86	ENCFF063VRD	K562	ZNF23	A549	15.790427438397765	0.0	0.0	1
87	ENCFF065ASC	MCF-7	NBN	A549	18.85822604864895	0.0	0.0	1
88	ENCFF065RZP	K562	ETV1	A549	63.959915653913775	0.0	0.0	1
89	ENCFF066CWG	K562	FOXK2	A549	61.42747169488229	0.0	0.0	1
90	ENCFF066OJB	K562	CBX5	A549	27.276786499644675	0.0	0.0	1
91	ENCFF067BCD	K562	NCOA4	A549	16.011463063362857	0.0	0.0	1
92	ENCFF067FJF	K562	THRAP3	A549	26.678419068014723	0.0	0.0	1
93	ENCFF067KCK	K562	SKIL	A549	67.66623592412832	0.0	0.0	1
94	ENCFF068IGH	K562	MXI1	A549	51.30499818178731	0.0	0.0	1
95	ENCFF068MGV	K562	NKRF	A549	70.9218172586478	0.0	0.0	1
96	ENCFF069QZX	HepG2	SIX1	A549	47.29074144810398	0.0	0.0	1
97	ENCFF069YFV	HepG2	NFAT5	A549	56.078207602807886	0.0	0.0	1
98	ENCFF070JYN	MCF-7	MTA1	A549	45.84029079412054	0.0	0.0	1
99	ENCFF070QDA	HepG2	ZNF639	A549	65.20159267290799	0.0	0.0	1
100	ENCFF070XVL	HepG2	SOX5	A549	72.38456302763674	0.0	0.0	1
101	ENCFF071GJH	K562	RBM34	A549	22.505898635527366	0.0	0.0	1
102	ENCFF072JDK	K562	ZNF507	A549	-3.6110117029375948	0.9997811219847628	1.0	0
103	ENCFF073UWB	HepG2	KLF9	A549	49.122147467790995	0.0	0.0	1
104	ENCFF074XQR	HepG2	ARNT	A549	4.710969104929629	4.7789605753751184e-08	4.5952084214545076e-07	1
105	ENCFF075BRS	K562	GTF2F1	A549	44.54995419341444	0.0	0.0	1
106	ENCFF075OIT	K562	ARNT	A549	25.827993398239084	0.0	0.0	1
107	ENCFF075TIU	MCF-7	TAF1	A549	63.76128663484045	0.0	0.0	1
108	ENCFF076ESL	HepG2	HIVEP1	A549	69.95565249129228	0.0	0.0	1
109	ENCFF076GSK	K562	MITF	A549	42.093985309397695	0.0	0.0	1
110	ENCFF076WTT	HepG2	TBX3	A549	48.931460100769755	0.0	0.0	1
111	ENCFF078ATH	HepG2	ZNF778	A549	42.22972546110615	0.0	0.0	1
112	ENCFF079EGS	K562	ZBTB5	A549	21.07523371285514	0.0	0.0	1
113	ENCFF079ERC	K562	CSDE1	A549	14.607149378099873	0.0	0.0	1
114	ENCFF079KQG	HepG2	ZNF768	A549	77.2215204504058	0.0	0.0	1
115	ENCFF079MYL	A549	ZSCAN20	A549	40.563614721218	0.0	0.0	1
116	ENCFF079UOJ	HepG2	JUN	A549	38.290723787225886	0.0	0.0	1
117	ENCFF080KWE	K562	ZNF311	A549	26.12639768434484	0.0	0.0	1
118	ENCFF080TIX	HepG2	RBAK	A549	31.29706298033656	0.0	0.0	1
119	ENCFF082DOH	K562	CBFA2T3	A549	46.11467132321007	0.0	0.0	1
120	ENCFF084BUP	K562	SMAD1	A549	52.671182191827086	0.0	0.0	1
121	ENCFF086TAD	K562	ATF4	A549	44.8281614873483	0.0	0.0	1
122	ENCFF086ZTC	HepG2	MAZ	A549	69.63611447791006	0.0	0.0	1
123	ENCFF088YXY	HepG2	RFX1	A549	27.73754534947774	0.0	0.0	1
124	ENCFF089XCL	HepG2	RELA	A549	44.9923234772887	0.0	0.0	1
125	ENCFF090CEP	MCF-7	E2F4	A549	15.237839526984573	0.0	0.0	1
126	ENCFF091NQE	MCF-7	ELF1	A549	74.09539234952672	0.0	0.0	1
127	ENCFF091TCH	K562	RBM15	A549	12.962685869643627	0.0	0.0	1
128	ENCFF092DLN	K562	RBM14	A549	33.62931993104172	0.0	0.0	1
129	ENCFF093AZT	HepG2	MTA3	A549	16.190072314571196	0.0	0.0	1
130	ENCFF096AYV	K562	ZNF518B	A549	8.262291395520778	6.98841106804623e-23	6.960854721847614e-22	1
131	ENCFF096EUR	HepG2	PPARGC1A	A549	4.7479720471156215	1.2796989852067716e-08	1.2320423290696687e-07	1
132	ENCFF096JXF	MCF-7	E2F8	A549	20.741232288365495	0.0	0.0	1
133	ENCFF099OSI	K562	HMG20B	A549	16.156800275986118	0.0	0.0	1
134	ENCFF099RDJ	K562	PKNOX1	A549	60.78154240307625	0.0	0.0	1
135	ENCFF099SDO	HepG2	ZFX	A549	105.1644481861921	0.0	0.0	1
136	ENCFF101DBG	K562	TAL1	A549	30.603984758620403	0.0	0.0	1
137	ENCFF101SEZ	K562	SRF	A549	36.38962439729994	0.0	0.0	1
138	ENCFF102ZOU	HepG2	CHD2	A549	51.51005802652016	0.0	0.0	1
139	ENCFF102ZUM	HepG2	THRB	A549	48.45084954098617	0.0	0.0	1
140	ENCFF103YZQ	K562	GABPB2	A549	16.218951920898082	0.0	0.0	1
141	ENCFF104XLA	HepG2	ZNF234	A549	47.6807299506652	0.0	0.0	1
142	ENCFF105VCL	HepG2	SIN3B	A549	46.728382070304896	0.0	0.0	1
143	ENCFF106ECV	K562	ESRRB	A549	13.415961612283366	0.0	0.0	1
144	ENCFF107EWI	A549	REST	A549	85.73442481928076	0.0	0.0	1
145	ENCFF108LBD	HepG2	SMAD7	A549	82.34552210778169	0.0	0.0	1
146	ENCFF108PPK	HepG2	ZNF510	A549	57.57433823599585	0.0	0.0	1
147	ENCFF109ADF	A549	FOXF2	A549	59.94917680481734	0.0	0.0	1
148	ENCFF110GDP	K562	ZNF282	A549	49.18711545957068	0.0	0.0	1
149	ENCFF110HVI	K562	TRIM25	A549	22.968351419212816	0.0	0.0	1
150	ENCFF110MJW	HepG2	SIN3A	A549	83.30497675277736	0.0	0.0	1
151	ENCFF110OZO	A549	SP1	A549	114.1304756179468	0.0	0.0	1
152	ENCFF112JVK	MCF-7	FOXA1	A549	35.87198797995016	0.0	0.0	1
153	ENCFF113LBV	K562	KAT8	A549	19.57922315569186	0.0	0.0	1
154	ENCFF114SGL	HepG2	TOPORS	A549	62.743045756225364	0.0	0.0	1
155	ENCFF115ENN	HepG2	ZNF576	A549	40.55923336720238	0.0	0.0	1
156	ENCFF115KRO	MCF-7	E2F1	A549	93.54426074850277	0.0	0.0	1
157	ENCFF115WXJ	MCF-7	NONO	A549	16.10971458332249	0.0	0.0	1
158	ENCFF117XRE	K562	ZMYM3	A549	30.209416663606614	0.0	0.0	1
159	ENCFF118GMS	K562	CREB3L1	A549	72.55019060868986	0.0	0.0	1
160	ENCFF119AHD	K562	MAFF	A549	32.86731845902049	0.0	0.0	1
161	ENCFF119UOZ	HepG2	ZNF232	A549	66.92362512595035	0.0	0.0	1
162	ENCFF120BVS	HepG2	ZNF221	A549	75.91807842284042	0.0	0.0	1
163	ENCFF122FTW	K562	STAT5B	A549	3.942654635386452	7.350158916276101e-06	6.995963984474338e-05	1
164	ENCFF123EUU	K562	IRF1	A549	56.73288603819883	0.0	0.0	1
165	ENCFF123FQW	HepG2	HNF4G	A549	52.429234432872065	0.0	0.0	1
166	ENCFF123IHX	K562	CAMTA2	A549	27.837551146175745	0.0	0.0	1
167	ENCFF124FTW	K562	BCOR	A549	56.56963325026	0.0	0.0	1
168	ENCFF124KCE	K562	ZBTB43	A549	39.0357623867653	0.0	0.0	1
169	ENCFF124UUN	HepG2	KLF12	A549	68.87524614733171	0.0	0.0	1
170	ENCFF125ABN	HepG2	NR2F1	A549	43.70710225731582	0.0	0.0	1
171	ENCFF125GZU	K562	SOX6	A549	62.20323500860629	0.0	0.0	1
172	ENCFF125JED	A549	FOXA1	A549	74.8089113160543	0.0	0.0	1
173	ENCFF127ZZG	HepG2	NFIB	A549	20.013487134889793	0.0	0.0	1
174	ENCFF128AZO	HepG2	TEAD1	A549	67.46423423124763	0.0	0.0	1
175	ENCFF128YWS	K562	MLX	A549	26.11747926677362	0.0	0.0	1
176	ENCFF129FEV	A549	MAFK	A549	54.135156975565714	0.0	0.0	1
177	ENCFF129SBX	HepG2	HCFC1	A549	52.48971190986178	0.0	0.0	1
178	ENCFF130JVF	K562	BRD4	A549	57.42124680887704	0.0	0.0	1
179	ENCFF130LVT	HepG2	NFE2L2	A549	31.642964141799176	0.0	0.0	1
180	ENCFF130OKL	HepG2	ZNF217	A549	71.10378811214511	0.0	0.0	1
181	ENCFF130WQT	K562	PHTF2	A549	17.06613847002388	0.0	0.0	1
182	ENCFF130ZHU	HepG2	ZNF557	A549	50.18869269827518	0.0	0.0	1
183	ENCFF131TYZ	MCF-7	SRF	A549	53.67464765145508	0.0	0.0	1
184	ENCFF132AJP	HepG2	MLX	A549	56.902663735225225	0.0	0.0	1
185	ENCFF132DPY	K562	ZBTB40	A549	19.36390743681694	0.0	0.0	1
186	ENCFF132RKR	HepG2	KAT2B	A549	13.078067932207526	0.0	0.0	1
187	ENCFF133TSU	K562	ELF1	A549	72.54385725472306	0.0	0.0	1
188	ENCFF133VHU	HepG2	HDAC1	A549	73.80227723041142	0.0	0.0	1
189	ENCFF133ZSB	A549	FOSB	A549	49.02706091428217	0.0	0.0	1
190	ENCFF134HBP	K562	U2AF2	A549	-1.0	0.5556512371249482	1.0	0
191	ENCFF135VAJ	HepG2	ZNF33B	A549	57.20164964921614	0.0	0.0	1
192	ENCFF137JHO	A549	ZFP36	A549	28.85087866890327	0.0	0.0	1
193	ENCFF137OGC	K562	XRCC3	A549	3.352021391629797	0.00013687133659814296	0.001298603470963151	1
194	ENCFF137QEJ	HepG2	ZSCAN21	A549	74.74604121227016	0.0	0.0	1
195	ENCFF137ZTF	HepG2	POLR2AphosphoS5	A549	87.57631357694738	0.0	0.0	1
196	ENCFF139FEW	HepG2	ZFHX3	A549	38.41569097027784	0.0	0.0	1
197	ENCFF139FMU	K562	HCFC1	A549	64.5813655222726	0.0	0.0	1
198	ENCFF139XIZ	HepG2	FUBP1	A549	33.572909414854166	0.0	0.0	1
199	ENCFF140PUO	HepG2	MAX	A549	66.54740333369263	0.0	0.0	1
200	ENCFF141CBF	MCF-7	TSC22D1	A549	25.198199420225603	0.0	0.0	1
201	ENCFF141FYD	HepG2	RFX5	A549	43.86603742612721	0.0	0.0	1
202	ENCFF141HPL	K562	ZFP30	A549	8.354818750541117	1.7738824307121033e-24	1.773483073631588e-23	1
203	ENCFF141IMM	HepG2	IRF9	A549	74.29089254893556	0.0	0.0	1
204	ENCFF141UZG	HepG2	ZNF543	A549	72.25999907992733	0.0	0.0	1
205	ENCFF142CUN	HepG2	ZNF496	A549	7.615773105863908	1.3530388197755266e-21	1.3439551058766027e-20	1
206	ENCFF142EQZ	K562	STAT2	A549	21.648386931562978	0.0	0.0	1
207	ENCFF142MJD	K562	AFF4	A549	67.5842596622296	0.0	0.0	1
208	ENCFF142NAV	MCF-7	NFXL1	A549	12.447495056306662	0.0	0.0	1
209	ENCFF142ZTD	K562	KLF10	A549	12.014713754744212	0.0	0.0	1
210	ENCFF143MEF	K562	ILK	A549	7.007690942650826	8.024388647132351e-16	7.861191461101801e-15	1
211	ENCFF143QCD	HepG2	ZNF749	A549	62.89109388619601	0.0	0.0	1
212	ENCFF144OPN	MCF-7	HES1	A549	16.673550202399284	0.0	0.0	1
213	ENCFF144ZLB	K562	TSHZ1	A549	17.293394928657406	0.0	0.0	1
214	ENCFF146GZZ	K562	ZBTB33	A549	26.721902169675005	0.0	0.0	1
215	ENCFF147IAH	K562	MCM2	A549	6.6332495807108	1.1999681511123359e-16	1.178797338275034e-15	1
216	ENCFF148RPN	HepG2	ZBTB24	A549	21.12210044147217	0.0	0.0	1
217	ENCFF148YMC	K562	SMARCE1	A549	61.55403745465073	0.0	0.0	1
218	ENCFF149QHA	HepG2	ZBTB3	A549	52.904707667782745	0.0	0.0	1
219	ENCFF150NHK	HepG2	SMARCC2	A549	20.152595774634698	0.0	0.0	1
220	ENCFF150PTQ	MCF-7	RFX1	A549	52.45294974648481	0.0	0.0	1
221	ENCFF154DSR	HepG2	ZSCAN5A	A549	57.85908189784637	0.0	0.0	1
222	ENCFF154IVU	K562	BHLHE40	A549	65.80422342945738	0.0	0.0	1
223	ENCFF154VTV	HepG2	GATA4	A549	62.20051821615788	0.0	0.0	1
224	ENCFF155CEQ	HepG2	RAD21	A549	35.85414652853437	0.0	0.0	1
225	ENCFF155LGO	A549	CEBPB	A549	57.208884661404944	0.0	0.0	1
226	ENCFF155NXO	HepG2	ZNF704	A549	62.03554816262098	0.0	0.0	1
227	ENCFF156EZP	K562	ZNF655	A549	10.390630242941619	0.0	0.0	1
228	ENCFF156GHD	K562	CC2D1A	A549	45.16829055381967	0.0	0.0	1
229	ENCFF156UNQ	HepG2	HMG20A	A549	54.918749174031866	0.0	0.0	1
230	ENCFF158BJH	HepG2	GATAD2A	A549	81.02490127935465	0.0	0.0	1
231	ENCFF158YBV	MCF-7	GABPA	A549	39.04856057371139	0.0	0.0	1
232	ENCFF159END	K562	ZNF717	A549	17.766377715679727	0.0	0.0	1
233	ENCFF160KBR	MCF-7	RCOR1	A549	35.91883375405034	0.0	0.0	1
234	ENCFF160TJG	MCF-7	ZBTB40	A549	47.33728823661159	0.0	0.0	1
235	ENCFF161TZL	HepG2	JARID2	A549	41.04463913892437	0.0	0.0	1
236	ENCFF162UZN	HepG2	ADNP	A549	32.629031890154764	0.0	0.0	1
237	ENCFF162YBD	HepG2	PROX1	A549	58.76967866271166	0.0	0.0	1
238	ENCFF163LGN	HepG2	FOXP4	A549	73.94883858564454	0.0	0.0	1
239	ENCFF164JZB	HepG2	RFX3	A549	34.660614894287036	0.0	0.0	1
240	ENCFF165EYN	HepG2	HBP1	A549	65.54605812412177	0.0	0.0	1
241	ENCFF165IYE	HepG2	PAWR	A549	37.57945709552566	0.0	0.0	1
242	ENCFF165JQS	K562	ZNF778	A549	3.234312011866206	9.718264077145722e-05	0.000922536526970662	1
243	ENCFF165MOD	HepG2	ARID2	A549	59.84566752406804	0.0	0.0	1
244	ENCFF166QJY	HepG2	NFYA	A549	69.47264843652557	0.0	0.0	1
245	ENCFF167CQF	K562	EP400	A549	90.14354161610194	0.0	0.0	1
246	ENCFF169AWH	K562	ZNF134	A549	28.199288976232133	0.0	0.0	1
247	ENCFF169BSN	A549	HDAC2	A549	32.39357143654005	0.0	0.0	1
248	ENCFF169MAE	K562	NFIC	A549	68.7641786567117	0.0	0.0	1
249	ENCFF169QCM	A549	ELF1	A549	70.74097407043065	0.0	0.0	1
250	ENCFF169QYL	K562	ZNF165	A549	26.598280144160785	0.0	0.0	1
251	ENCFF170GIQ	HepG2	ZNF652	A549	43.43839576386392	0.0	0.0	1
252	ENCFF171NEU	K562	SP1	A549	46.21915526625504	0.0	0.0	1
253	ENCFF171VVS	HepG2	GTF2F1	A549	45.21382203310179	0.0	0.0	1
254	ENCFF172LIW	HepG2	ATF7-NPFF	A549	75.1182828582152	0.0	0.0	1
255	ENCFF173QUY	K562	E2F5	A549	40.36615494836186	0.0	0.0	1
256	ENCFF174JHS	HepG2	PATZ1	A549	91.71258824686997	0.0	0.0	1
257	ENCFF175FFY	HepG2	POGZ	A549	79.18059557211036	0.0	0.0	1
258	ENCFF176MDV	K562	SAFB2	A549	1.8181828882068862	0.023652031037604312	0.2221621110111146	0
259	ENCFF179LFO	HepG2	SNAI1	A549	59.06799586327011	0.0	0.0	1
260	ENCFF179WDI	A549	RFX5	A549	49.206697107186116	0.0	0.0	1
261	ENCFF180KAV	K562	HEY1	A549	21.12015919317363	0.0	0.0	1
262	ENCFF180WMP	HepG2	ZBTB37	A549	40.6534892808375	0.0	0.0	1
263	ENCFF180XUM	K562	ZNF3	A549	22.602477805684053	0.0	0.0	1
264	ENCFF180XXZ	MCF-7	MTA2	A549	7.899602932745945	9.831667263713383e-21	9.747587210323768e-20	1
265	ENCFF182FNR	HepG2	SAP130	A549	110.5524359561631	0.0	0.0	1
266	ENCFF184PHK	MCF-7	CUX1	A549	32.487236812205516	0.0	0.0	1
267	ENCFF185KMK	K562	HMGXB4	A549	55.49617043036506	0.0	0.0	1
268	ENCFF185UUT	MCF-7	ESR1	A549	46.903841610756636	0.0	0.0	1
269	ENCFF186RPU	HepG2	ZNF225	A549	61.09319924926258	0.0	0.0	1
270	ENCFF187BVL	K562	STAT5A	A549	30.547154879188554	0.0	0.0	1
271	ENCFF187WJM	HepG2	ATM	A549	8.659810202416582	1.2820820721368504e-26	1.284910986735931e-25	1
272	ENCFF188PLS	K562	MECOM	A549	30.002451110948176	0.0	0.0	1
273	ENCFF189OHQ	K562	EHMT2	A549	31.428888552433957	0.0	0.0	1
274	ENCFF189PKJ	HepG2	ZNF883	A549	69.83383805605735	0.0	0.0	1
275	ENCFF189UXQ	HepG2	TOE1	A549	16.880338855408283	0.0	0.0	1
276	ENCFF190LEQ	HepG2	GZF1	A549	52.00972595088002	0.0	0.0	1
277	ENCFF191NVV	HepG2	ETS1	A549	45.69150863068192	0.0	0.0	1
278	ENCFF192ASP	K562	ATF2	A549	38.23082065025587	0.0	0.0	1
279	ENCFF192BPQ	MCF-7	ZBTB1	A549	8.746308067069357	0.0	0.0	1
280	ENCFF192MEM	K562	ZNF175	A549	53.36943819933518	0.0	0.0	1
281	ENCFF193BGB	K562	ZNF397	A549	25.590939364639617	0.0	0.0	1
282	ENCFF195YGC	K562	AFF1	A549	54.439541460517155	0.0	0.0	1
283	ENCFF195YPT	HepG2	ZBED5	A549	40.180798953347924	0.0	0.0	1
284	ENCFF197CVM	MCF-7	ZNF217	A549	72.75647543063066	0.0	0.0	1
285	ENCFF197SXI	K562	FOXA3	A549	47.70703399785874	0.0	0.0	1
286	ENCFF197YSM	HepG2	KAT8	A549	89.21701028435741	0.0	0.0	1
287	ENCFF198GZQ	HepG2	TBP	A549	76.2154627089271	0.0	0.0	1
288	ENCFF198NGY	K562	ELK3	A549	14.75814932831641	0.0	0.0	1
289	ENCFF198OOM	HepG2	SPEN	A549	84.57370859530087	0.0	0.0	1
290	ENCFF199CQK	K562	TAF7	A549	60.73045812134854	0.0	0.0	1
291	ENCFF199GFU	K562	NR2C1	A549	56.49986315887298	0.0	0.0	1
292	ENCFF199NUD	HepG2	KAT7	A549	76.18132341500163	0.0	0.0	1
293	ENCFF200SDQ	HepG2	REST	A549	5.195726744404048	5.760382559013974e-09	5.552848885856699e-08	1
294	ENCFF201DBE	A549	RARB	A549	50.21461430624716	0.0	0.0	1
295	ENCFF202WIO	HepG2	PHF8	A549	55.79759186054411	0.0	0.0	1
296	ENCFF206BGR	K562	ATF1	A549	47.73256279068834	0.0	0.0	1
297	ENCFF206KPV	HepG2	SMAD3	A549	65.8649867567557	0.0	0.0	1
298	ENCFF206LMB	K562	THAP12	A549	61.487495985851695	0.0	0.0	1
299	ENCFF207MLR	K562	ZNF408	A549	5.970292503066196	7.498486801160497e-13	7.297937352929147e-12	1
300	ENCFF207XCM	K562	ZNF140	A549	8.535182866237832	9.360048118078718e-25	9.359687737204343e-24	1
301	ENCFF208OME	K562	ZNF700	A549	14.333226634994222	0.0	0.0	1
302	ENCFF209DVO	K562	ZBTB2	A549	58.41782721457937	0.0	0.0	1
303	ENCFF209MHH	HepG2	CERS6	A549	30.101446091261856	0.0	0.0	1
304	ENCFF209WPT	K562	TEAD2	A549	22.671438139199694	0.0	0.0	1
305	ENCFF209ZVL	A549	HES2	A549	39.604066966255566	0.0	0.0	1
306	ENCFF211TTD	K562	NONO	A549	53.14950267617096	0.0	0.0	1
307	ENCFF214ICQ	MCF-7	ESRRA	A549	34.587924436547304	0.0	0.0	1
308	ENCFF214SNH	K562	TEAD1	A549	68.20178498255035	0.0	0.0	1
309	ENCFF215FJJ	HepG2	ZNF841	A549	38.60275360009551	0.0	0.0	1
310	ENCFF215JWS	K562	PHF21A	A549	39.816220763203134	0.0	0.0	1
311	ENCFF215KQQ	A549	POLR2AphosphoS2	A549	21.90246205934143	0.0	0.0	1
312	ENCFF215UIS	HepG2	ZNF660	A549	24.548349865395206	0.0	0.0	1
313	ENCFF216ISR	HepG2	NR1H2	A549	42.29142532217109	0.0	0.0	1
314	ENCFF216JWP	HepG2	ZNF710	A549	69.9097875708805	0.0	0.0	1
315	ENCFF216KLB	HepG2	ZFP91	A549	96.94687673171167	0.0	0.0	1
